name,coverage_2020,annual_change,projected_2030,region,2030_status,expected_improvement,Country,Region,Start_Year,End_Year,Start_Value,End_Value,Years_Passed,Annual_Velocity,Years_To_2030,Projected_2030,SDG_2030_Gap,SDG_Status,Prediction_Difference,Expected_Improvement,Likely_Achieve_SDG,Risk_Category
Curaçao,99.49775185,0.0,99.49775185,Latin America & Caribbean,Universal Access,0.0,Curaçao,Latin America & Caribbean,2015,2017,99.49775185,99.49775185,2,0.0,13,99.49775185,0.5022481499999998,Achieved Universal Access,0.0,0.0,True,On Track
Bahamas,98.8869605,0.0,98.8869605,Latin America & Caribbean,Very High Access,0.0,Bahamas,Latin America & Caribbean,2015,2019,98.8869605,98.8869605,4,0.0,11,98.8869605,1.1130394999999993,Stagnating or Regressing,0.0,0.0,False,Near Target
Saint Kitts and Nevis,98.61185413,0.0,98.61185413,Latin America & Caribbean,Very High Access,0.0,Saint Kitts and Nevis,Latin America & Caribbean,2015,2017,98.61185413,98.61185413,2,0.0,13,98.61185413,1.3881458700000024,Stagnating or Regressing,0.0,0.0,False,Near Target
Aruba,97.86902338,0.0,97.86902338,Latin America & Caribbean,Very High Access,0.0,Aruba,Latin America & Caribbean,2015,2016,97.86902338,97.86902338,1,0.0,14,97.86902338,2.1309766199999984,Stagnating or Regressing,0.0,0.0,False,Near Target
Anguilla,97.48227425,0.0,97.48227425,Latin America & Caribbean,Very High Access,0.0,Anguilla,Latin America & Caribbean,2015,2017,97.48227425,97.48227425,2,0.0,13,97.48227425,2.5177257499999968,Stagnating or Regressing,0.0,0.0,False,Near Target
Seychelles,96.85174689,0.15021384750000163,98.5040992125,East Asia & Pacific,Very High Access,1.6523523224999934,Seychelles,East Asia & Pacific,2015,2019,96.2508915,96.85174689,4,0.15021384750000166,11,98.50409921250002,1.495900787499977,Off Track (Too Slow),-2.842170943040401e-14,1.6523523224999934,False,Near Target
Antigua and Barbuda,96.73918628,0.0,96.73918628,Latin America & Caribbean,Very High Access,0.0,Antigua and Barbuda,Latin America & Caribbean,2015,2017,96.73918628,96.73918628,2,0.0,13,96.73918628,3.2608137200000016,Stagnating or Regressing,0.0,0.0,False,Near Target
Cayman Islands,96.125,0.0,96.125,Latin America & Caribbean,Very High Access,0.0,Cayman Islands,Latin America & Caribbean,2015,2016,96.125,96.125,1,0.0,14,96.125,3.875,Stagnating or Regressing,0.0,0.0,False,Near Target
Grenada,95.62865044,0.0,95.62865044,Latin America & Caribbean,Very High Access,0.0,Grenada,Latin America & Caribbean,2015,2017,95.62865044,95.62865044,2,0.0,13,95.62865044,4.371349559999999,Stagnating or Regressing,0.0,0.0,False,Near Target
Dominica,95.42065606,0.0,95.42065606,Latin America & Caribbean,Very High Access,0.0,Dominica,Latin America & Caribbean,2015,2017,95.42065606,95.42065606,2,0.0,13,95.42065606,4.579343940000001,Stagnating or Regressing,0.0,0.0,False,Near Target
Sint Maarten (Dutch part),95.31117933,0.0,95.31117933,Latin America & Caribbean,Very High Access,0.0,Sint Maarten (Dutch part),Latin America & Caribbean,2015,2017,95.31117933,95.31117933,2,0.0,13,95.31117933,4.688820669999998,Stagnating or Regressing,0.0,0.0,False,Near Target
Saint Vincent and the Grenadines,95.1452199,0.0,95.1452199,Latin America & Caribbean,Very High Access,0.0,Saint Vincent and the Grenadines,Latin America & Caribbean,2015,2018,95.1452199,95.1452199,3,0.0,12,95.1452199,4.854780099999999,Stagnating or Regressing,0.0,0.0,False,Near Target
Turks and Caicos Islands,94.31818182,0.0,94.31818182,Latin America & Caribbean,Very High Access,0.0,Turks and Caicos Islands,Latin America & Caribbean,2015,2018,94.31818182,94.31818182,3,0.0,12,94.31818182,5.681818179999993,Stagnating or Regressing,0.0,0.0,False,Near Target
Channel Islands,94.15,0.0,94.15,Europe & Central Asia,Very High Access,0.0,Channel Islands,Europe & Central Asia,2015,2017,94.15,94.15,2,0.0,13,94.15,5.849999999999994,Stagnating or Regressing,0.0,0.0,False,Near Target
Micronesia (Federated States of),88.30815668,0.0,88.30815668,East Asia & Pacific,High Access,0.0,Micronesia (Federated States of),East Asia & Pacific,2015,2019,88.30815668,88.30815668,4,0.0,11,88.30815668,11.691843320000004,Stagnating or Regressing,0.0,0.0,False,Moderate Risk
Comoros,80.21049781,0.019624432500002332,80.42636656750003,Sub-Saharan Africa,High Access,0.21586875750001866,Comoros,Sub-Saharan Africa,2015,2019,80.13200008,80.21049781,4,0.019624432500002342,11,80.42636656750003,19.573633432499975,Off Track (Too Slow),0.0,0.21586875750001866,False,Moderate Risk
Equatorial Guinea,64.66581606,0.2436072049999964,67.83270972499997,Sub-Saharan Africa,Moderate Access,3.166893664999975,Equatorial Guinea,Sub-Saharan Africa,2015,2017,64.17860165,64.66581606,2,0.24360720499999644,13,67.83270972499994,32.167290275000056,Off Track (Too Slow),2.842170943040401e-14,3.166893664999975,False,High Risk
Eritrea,51.84972018,0.38462665000000107,57.23449328000004,Sub-Saharan Africa,Moderate Access,5.384773100000039,Eritrea,Sub-Saharan Africa,2015,2016,51.46509353,51.84972018,1,0.3846266500000013,14,57.23449328000002,42.76550671999998,Off Track (Too Slow),2.1316282072803006e-14,5.384773100000039,False,High Risk
